label,place,extract,url,size,image,sortkey,views,latitude,longitude
Karel IV.,Karlštejn,"<p><b>Karel IV.</b>, narozen jako <b>Václav</b>, byl jedenáctý český král vládnoucí jako <b>Karel I.</b> od srpna 1346 až do své smrti v listopadu 1378. Karel IV. byl římsko-německý král od července 1346 a od roku 1355 císař římský. Byl také italský (lombardský) král od roku 1355, burgundský (arelatský) král od roku 1365, moravský markrabě v letech 1333 až 1349 a lucemburský hrabě v období let 1346 až 1353. Pocházel po otci z dynastie Lucemburků, a po matce z rodu Přemyslovců.</p>",https://cs.wikipedia.org/wiki/Karel_IV.,5,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Charles_IV-John_Ocko_votive_picture-fragment.jpg/215px-Charles_IV-John_Ocko_votive_picture-fragment.jpg,1,33743.5,49.939117,14.18829
Tomáš Garrigue Masaryk,Hodonín,"<p><b>Tomáš Garrigue Masaryk</b>, označovaný <b>T. G. M.</b>, <b>TGM</b> nebo <b>prezident Osvoboditel</b>, byl československý státník, filozof, sociolog a pedagog, první prezident Československé republiky. K jeho osmdesátým narozeninám byl roku 1930 přijat zákon o zásluhách T. G. Masaryka, obsahující větu <i>„Tomáš Garrigue Masaryk zasloužil se o stát“</i>, a po odchodu z funkce roku 1935 ho parlament znovu ocenil a odměnil za jeho osvoboditelské a budovatelské dílo.</p>",https://cs.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Garrigue_Masaryk,4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Tom%C3%A1%C5%A1_Garrigue_Masaryk_1925.PNG/249px-Tom%C3%A1%C5%A1_Garrigue_Masaryk_1925.PNG,2,23163,48.84895058,17.13243907
Tomáš Garrigue Masaryk,King's College London,"<p><b>Tomáš Garrigue Masaryk</b>, označovaný <b>T. G. M.</b>, <b>TGM</b> nebo <b>prezident Osvoboditel</b>, byl československý státník, filozof, sociolog a pedagog, první prezident Československé republiky. K jeho osmdesátým narozeninám byl roku 1930 přijat zákon o zásluhách T. G. Masaryka, obsahující větu <i>„Tomáš Garrigue Masaryk zasloužil se o stát“</i>, a po odchodu z funkce roku 1935 ho parlament znovu ocenil a odměnil za jeho osvoboditelské a budovatelské dílo.</p>",https://cs.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Garrigue_Masaryk,4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Tom%C3%A1%C5%A1_Garrigue_Masaryk_1925.PNG/249px-Tom%C3%A1%C5%A1_Garrigue_Masaryk_1925.PNG,3,23163,51.51194444,-0.11611111
Tomáš Garrigue Masaryk,Universität Wien,"<p><b>Tomáš Garrigue Masaryk</b>, označovaný <b>T. G. M.</b>, <b>TGM</b> nebo <b>prezident Osvoboditel</b>, byl československý státník, filozof, sociolog a pedagog, první prezident Československé republiky. K jeho osmdesátým narozeninám byl roku 1930 přijat zákon o zásluhách T. G. Masaryka, obsahující větu <i>„Tomáš Garrigue Masaryk zasloužil se o stát“</i>, a po odchodu z funkce roku 1935 ho parlament znovu ocenil a odměnil za jeho osvoboditelské a budovatelské dílo.</p>",https://cs.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Garrigue_Masaryk,4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Tom%C3%A1%C5%A1_Garrigue_Masaryk_1925.PNG/249px-Tom%C3%A1%C5%A1_Garrigue_Masaryk_1925.PNG,4,23163,48.21305556,16.35972222
Václav Havel,Divadlo Na zábradlí,"<p><b>Václav Havel</b> byl český dramatik, esejista, disident a kritik komunistického režimu, později politik a státník. Byl devátým a posledním prezidentem Československa (1989–1992) a prvním prezidentem České republiky (1993–2003).</p>",https://cs.wikipedia.org/wiki/V%C3%A1clav_Havel,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/V%C3%A1clav_Havel_cut_out.jpg/280px-V%C3%A1clav_Havel_cut_out.jpg,5,18953.5,50.08706944,14.415325
Václav Havel,Pivovar Trutnov,"<p><b>Václav Havel</b> byl český dramatik, esejista, disident a kritik komunistického režimu, později politik a státník. Byl devátým a posledním prezidentem Československa (1989–1992) a prvním prezidentem České republiky (1993–2003).</p>",https://cs.wikipedia.org/wiki/V%C3%A1clav_Havel,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/V%C3%A1clav_Havel_cut_out.jpg/280px-V%C3%A1clav_Havel_cut_out.jpg,6,18953.5,50.561373,15.9071591
Karel Čapek,Humboldt-Universität zu Berlin,"<p><b>Karel Čapek</b> byl český spisovatel, intelektuál, novinář, dramatik, překladatel a amatérský fotograf. Byl mladší bratr malíře a spisovatele Josefa Čapka (1887–1945).</p>",https://cs.wikipedia.org/wiki/Karel_%C4%8Capek,4,https://upload.wikimedia.org/wikipedia/commons/b/bd/Karel-capek.jpg,7,18539,52.51805556,13.39333333
Karel Čapek,Malé Svatoňovice,"<p><b>Karel Čapek</b> byl český spisovatel, intelektuál, novinář, dramatik, překladatel a amatérský fotograf. Byl mladší bratr malíře a spisovatele Josefa Čapka (1887–1945).</p>",https://cs.wikipedia.org/wiki/Karel_%C4%8Capek,4,https://upload.wikimedia.org/wikipedia/commons/b/bd/Karel-capek.jpg,8,18539,50.5339825,16.04987359
Miloš Zeman,Kolín,"<p><b>Miloš Zeman</b> je český politik, ekonom, prognostik a třetí prezident České republiky. Úřadu se poprvé ujal složením slibu 8. března 2013 a druhé funkční období zahájil přesně o pět let později.</p>",https://cs.wikipedia.org/wiki/Milo%C5%A1_Zeman,4,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Milos_Zeman_2019-02336.jpg/218px-Milos_Zeman_2019-02336.jpg,9,17338,50.02819399,15.20063375
Karel Gott,Bertramka,"<p><b>Karel Gott</b> byl český šlágrový zpěvák, herec a malíř. V letech 1965–2019 se prodalo 50 milionů nosičů alb s jeho nahrávkami, což z něj učinilo nejúspěšnějšího českého interpreta. Během kariéry vydal 293 sólových alb na domácí scéně i v zahraničí. Zpíval nejen česky, ale i německy, latinsky, anglicky, italsky a rusky.</p>",https://cs.wikipedia.org/wiki/Karel_Gott,4,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Karel_Gott_2018.jpg/242px-Karel_Gott_2018.jpg,10,17134,50.070556,14.395
